Country,Population,GNI per capita,Human Development Index,Human Asset Index
Samoa,0.2 M,"4,050 USD",0.715,96.1
Sao Tome and Principe,0.2 M,"2,060 USD",0.625,89.4
Saudi Arabia,34.8 M,"21,930 USD",0.854,95.6
Senegal,16.7 M,"1,430 USD",0.512,66.4
Serbia,6.9 M,"7,420 USD",0.806,
Seychelles,0.1 M,"12,200 USD",0.796,92.4
Sierra Leone,8.0 M,510 USD,0.452,41.7
Solomon Islands,0.7 M,"2,300 USD",0.567,73.8
Somalia,15.9 M,420 USD,,24.3
South Africa,59.3 M,"6,010 USD",0.709,86.2
South Sudan,11.2 M,460 USD,0.433,22
Sri Lanka,21.9 M,"3,720 USD",0.782,93.2
Sudan,43.8 M,530 USD,0.51,61.9
Suriname,0.6 M,"4,620 USD",0.738,91.2
Syria,17.5 M,"1,170 USD",0.567,77.2
Tajikistan,9.5 M,"1,060 USD",0.668,88.7
Tanzania,59.7 M,"1,080 USD",0.529,61.1
Thailand,69.8 M,"7,040 USD",0.777,94
Togo,8.3 M,920 USD,0.515,58.8
Tonga,0.1 M,"5,190 USD",0.725,98.4
Trinidad and Tobago,1.4 M,"15,420 USD",0.796,94.6
Tunisia,11.8 M,"3,300 USD",0.74,90.8
Turkey,84.3 M,"9,050 USD",0.82,97.1
Turkmenistan,6.0 M,"7,220 USD",0.715,92.4
Tuvalu,0.0 M,"5,820 USD",,82.8
Uganda,45.7 M,800 USD,0.544,57.8
Ukraine,44.1 M,"3,570 USD",0.779,
Uruguay,3.5 M,"15,790 USD",0.817,98.1
Uzbekistan,34.2 M,"1,740 USD",0.72,95.7
Vanuatu,0.3 M,"3,190 USD",0.609,77.5
Venezuela,28.4 M,"13,080 USD",0.711,91.3
Vietnam,97.3 M,"2,650 USD",0.704,88
Yemen,29.8 M,910 USD,0.47,57.7
Zambia,18.4 M,"1,160 USD",0.584,67.1
Zimbabwe,14.9 M,"1,140 USD",0.571,70.4
